,ID,x,y,Time,size,CustomTime,CustomLocation,SubmissionTime,OsVersion,AppVersion,Language,EventDate,maxCZC,CZCfilteredout,TDiff,SubvsEventbad,Multi1,Multi2,Multi3,blacklisted,xr,yr,Timer,FILTEREDOUT,days,months,years,size_text,size_mm,size_number,Lat,Lon
200333,eda28d3d-5473-4de7-a01a-f2c2304e29b6,658843,262432,2021-06-20 17:15:28.484000+00:00,10,FALSE,FALSE,2021-06-20 17:15:49.817000+00:00,,,de,21171,,1,0.355549999078115,0,0,0,0,0,658500,262500,2021-06-20 17:15:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.510002895088974,8.219736278885069
200347,edc8b5f0-92a1-4689-a88c-b3a42f7a4f59,599754,199258,2021-06-20 13:18:37.472000+00:00,11,FALSE,FALSE,2021-06-20 13:18:43.445000+00:00,,,en,21171,37.0,0,0.0995500008265177,0,0,0,0,0,599500,199500,2021-06-20 13:20:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.94440827825524,7.435401455148746
200353,edd851e4-d4c5-43b6-977a-cb444acf67d5,700105,262572,2021-06-20 16:13:31.801000+00:00,11,FALSE,FALSE,2021-06-20 16:13:53.528000+00:00,,,de,21171,59.5,0,0.362116666634878,0,0,0,0,0,700500,262500,2021-06-20 16:15:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.50627312039337,8.767418479556236
200363,edecd9b2-b9af-4bff-97cc-c1a0d98097f7,687915,262044,2021-06-20 16:06:26.827000+00:00,12,FALSE,FALSE,2021-06-20 16:06:33.942000+00:00,,,de,21171,57.0,0,0.118583333492279,0,0,0,0,0,687500,262500,2021-06-20 16:05:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.50326848537391,8.605529530708496
200371,ee059706-f78d-462b-ab32-c23d2f63f37c,694002,273115,2021-06-20 16:21:28.575000+00:00,11,FALSE,FALSE,2021-06-20 16:21:33.062000+00:00,,,de,21171,57.0,0,0.0747833331425985,0,0,0,0,0,694500,273500,2021-06-20 16:20:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.601983055017335,8.688650701431444
200389,ee3855bf-ef6a-4552-a985-f1dff9c7802c,646642,202466,2021-06-20 14:41:27.294000+00:00,14,FALSE,FALSE,2021-06-20 14:41:38.191000+00:00,,,de,21171,62.0,0,0.181616667906443,0,0,0,0,0,646500,202500,2021-06-20 14:40:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,46.97162993433817,8.051567800197581
200393,ee41eb62-339b-4903-acf5-1e095f4f613e,586378,185137,2021-06-20 13:39:10.978000+00:00,11,FALSE,FALSE,2021-06-20 13:39:41.802000+00:00,,,de,21171,56.0,0,0.513733335336049,0,0,0,0,0,586500,185500,2021-06-20 13:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.817245129268365,7.26013936213518
200411,ee612893-fb54-4735-a6a7-0f7922e12f00,664753,215457,2021-06-20 15:03:43.996000+00:00,12,FALSE,FALSE,2021-06-20 15:04:01.117000+00:00,,,de,21171,63.5,0,0.285350000858307,0,0,0,0,0,664500,215500,2021-06-20 15:05:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.086958785349786,8.291408230977263
200432,eea4f82f-d4af-4551-b851-d76d585ea58d,646528,203588,2021-06-20 14:34:47.953000+00:00,14,FALSE,FALSE,2021-06-20 14:34:56.924000+00:00,,,de,21171,62.0,0,0.149516665935516,0,0,0,0,0,646500,203500,2021-06-20 14:35:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,46.98173015963363,8.050184581326828
200439,eeb84569-8a60-467f-a320-12a1e6e69ec0,597889,212378,2021-06-20 13:47:55.605000+00:00,13,FALSE,FALSE,2021-06-20 13:48:21.241000+00:00,,,de,21171,39.0,0,0.427266665299734,0,0,0,0,0,597500,212500,2021-06-20 13:50:00+00:00,0,2021-06-20,2021-06,2021,1 CHF,23 [mm],23.0,47.06242025438063,7.410842464894613
